,board,value
0,8/8/R7/6kP/p4P2/4n3/p6K/7B,-1
1,7k/8/8/7r/8/8/8/4K3,1
2,r1bqk1rN/2p1b3/1pn2p2/p2p4/1P1Pp1pp/1QP2P1R/P2N1KB1/1Rn5,-1
3,4N1nr/3B1kqQ/2Pb4/2P5/2PnPPP1/p1BpP3/3R3P/1N3K1R,1
4,5n2/3k4/8/6R1/6P1/1K6/1b6/8,-1
5,1R6/2P1P3/6k1/3P4/p1p3K1/P1Bnb3/8/8,-1
6,2r1k1nr/8/n1qb4/pPP2B2/2Ppp1Qp/N3PPNb/1R1P2PP/2B2K1R,1
7,R3R3/1k6/3b4/8/8/1B3nPp/7P/1K6,-1
8,4b3/4R3/3r1p1k/1p6/8/5nK1/8/2q3n1,-1
9,r1q1k1n1/p1p1ppB1/np5p/1P1p4/8/7N/P1PPPPPP/RN1QKB1R,1
10,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR,-1
11,6R1/8/2k5/7P/4R3/7p/B2b3P/1K6,-1
12,r1bk1b1r/ppp3pp/n7/1q1ppp1P/2N5/2QP1P1B/PPP1P2P/R1B1K1NR,-1
13,8/2R5/1N1N3B/1P6/2P1p3/4P1Pk/3PB2P/4K1R1,1
14,8/2N5/8/7P/8/8/8/2K2k2,-1
15,rnb1kbnr/ppp1pppp/8/8/8/7P/PPP2PP1/R1BqKB1R,-1
16,8/8/P3k3/6p1/5nP1/8/1B6/2K1b3,-1
17,8/8/4kr2/p7/3Br2p/7K/7p/8,1
18,4r3/1Qpk1pPp/1p1p1P2/8/PRP3bP/2N5/2PK2P1/5B1R,1
19,3rkbQr/p2b2pp/npp5/4Np1P/8/2BPPP1B/PPP4P/R4KNR,-1
20,6q1/2n1k3/r7/4B3/2R5/n1pK4/4pR2/8,1
21,8/3K4/P7/8/8/3b4/1kr5/8,1
22,3q2r1/2p2k2/bpn2p1b/3p2p1/4P1Pp/1R1P3N/1K3n1P/1Q3B2,1
23,6k1/8/5K2/8/5p2/1p6/8/5R2,-1
24,1n5r/3kq2p/3ppp1b/rPp3p1/p3P2P/1P4PN/PN6/R2KQB1R,-1
25,K4R2/8/8/8/8/3k4/8/8,1
26,r1b3Br/pk1p4/1p3p2/1Pp1b2P/1nP3Kp/B1N5/P5R1/R7,-1
27,2bqkbnr/r1pppp2/1pn3pp/p5P1/3PP3/4BP1N/PPP3BP/RN1QK2R,-1
28,1R4K1/8/8/3k4/8/8/2r5/8,1
29,R6b/4Pk2/8/3P4/pPp5/6K1/8/8,-1
30,8/3bk3/n7/1p3P2/1PR1Np1p/2KPQP2/P5BP/B7,1
31,3k3N/1b2r3/P5P1/3P1p2/5b2/B4r2/6K1/8,1
32,3k4/8/8/3B3R/1p5P/1K1n2r1/r1R5/8,-1
33,8/2R5/1N6/1P6/2PPNBP1/4P3/4B3/4K2k,1
34,8/8/6k1/2p2nP1/8/5b2/8/6K1,-1
35,5B2/1n5N/7p/Pk5P/6P1/8/5bK1/6R1,-1
36,8/8/4k3/8/2P2P2/8/PP4K1/8,-1
37,b6k/5p2/4pPp1/1r6/p2Pp1PP/P1R5/3p2K1/8,1
38,5k1r/p4pp1/1qbbpn2/6Q1/2BP3p/2N2N1P/PPP2PP1/R1B1K2R,1
39,4r2k/n1q5/2bp1N2/1p4P1/4R2P/4Q3/2r5/5K1n,1
40,2r3R1/p2n1kb1/1pPp4/3p3p/1P4PP/3prP2/P1RKB3/6Nn,-1
41,rnbqkb1r/pppp1ppp/8/3np3/1PP5/8/PB1PPPPP/RN1QKBNR,1
42,rn3b1r/2pqp3/p2p1nkp/1pP2pP1/1P3P2/Bb1P3N/PN2PKP1/1R1Q1B1R,-1
43,6q1/2n1k3/6r1/2R1B3/8/n1p5/2K1pR2/8,1
44,8/2p5/4B2b/8/6rp/4kp1P/K2p4/8,1
45,rq2kbnr/p2nppp1/1p4b1/2ppN2p/2P1P2P/1P5R/P2PNPP1/R1BQKB2,1
46,7r/p3k1p1/3Np3/bP2Qp2/7p/5N1P/PP3PP1/R1B2K1R,1
47,1n2k1b1/rpp1b1p1/2qr4/1Q3P2/1P1BNp1p/3P4/P1RKPP1P/5B1R,1
48,5k2/1P6/5P1p/b7/1q6/6K1/p7/b7,-1
49,1r4Br/pbk5/1p3pR1/1Ppp3P/2P2K2/B6p/n1R5/b7,-1
50,rnbqkbnr/1ppppppp/p7/8/1P6/8/P1PPPPPP/RNBQKBNR,1
51,4k3/8/3n4/2K5/6P1/8/8/bR6,-1
52,1R1k4/8/1P4R1/5pP1/5p2/5K1p/8/r7,-1
53,8/8/2p5/8/4k2p/1K1n3P/2B5/2b4r,1
54,8/5p2/4kP2/6p1/8/1K2pb2/4p3/8,1
55,1r4r1/p1pk1pP1/1p1pbP1p/q7/P1P1Q2P/1RnB4/2PK2P1/4R3,1
56,3k4/8/8/8/3r4/8/6K1/8,1
